,Cities,Cloudiness (%),Humidity (%),Latitude,Longitude,Temperature (F),Wind Speed (MPH)
48,albany,20,79,42.65,138.6,27.88,10.29
49,pula,75,83,-1.95,138.6,78.8,9.17
50,marshall,90,43,39.39,138.6,49.28,16.11
51,hilo,1,78,19.71,138.6,64.98,4.7
52,dmytrivka,90,92,50.46,138.6,19.4,6.71
53,mar del plata,0,55,-46.43,138.6,62.63,20.38
54,san quintin,75,55,17.54,138.6,89.6,4.7
55,taolanaro,75,55,17.54,138.6,89.6,4.7
56,qaanaaq,44,89,77.48,138.6,-11.13,6.96
57,kodiak,1,74,39.95,138.6,37.4,6.93
58,puerto ayora,76,100,-0.74,138.6,74.51,7.63
59,turiacu,68,98,-5.01,138.6,73.47,3.38
60,busselton,12,91,-33.64,138.6,73.38,19.37
61,albany,20,79,42.65,138.6,27.88,10.29
62,rikitea,76,99,-23.12,138.6,80.13,17.47
63,kutum,0,45,14.2,138.6,46.88,11.99
64,bluff,20,32,-23.58,138.6,96.02,16.46
65,college,90,68,64.86,138.6,-15.98,2.93
66,moron,68,87,10.49,138.6,67.49,3.83
67,mataura,64,70,-46.19,138.6,73.83,14.12
68,nizhneyansk,64,70,-46.19,138.6,73.83,14.12
69,albany,20,79,42.65,138.6,27.88,10.29
70,albany,20,79,42.65,138.6,27.88,10.29
71,albany,20,79,42.65,138.6,27.88,10.29
72,rikitea,76,99,-23.12,138.6,80.13,17.47
73,tiksi,20,38,71.64,138.6,-25.22,2.93
74,the pas,90,71,53.82,138.6,3.2,12.75
75,rikitea,76,99,-23.12,138.6,80.13,17.47
76,mataura,64,70,-46.19,138.6,73.83,14.12
77,hobart,20,61,-42.88,138.6,80.6,14.99
78,bluff,20,32,-23.58,138.6,96.02,16.46
79,atuona,88,100,-9.8,138.6,80.4,17.92
80,tumannyy,88,100,-9.8,138.6,80.4,17.92
81,attawapiskat,88,100,-9.8,138.6,80.4,17.92
82,zhoucheng,92,95,31.35,138.6,35.27,7.18
83,barentsburg,92,95,31.35,138.6,35.27,7.18
84,rikitea,76,99,-23.12,138.6,80.13,17.47
85,talnakh,56,86,69.49,138.6,-6.14,23.29
86,phan rang,56,86,69.49,138.6,-6.14,23.29
87,sao joao da barra,8,99,-21.64,138.6,78.47,1.48
88,bukachacha,20,48,52.99,138.6,-9.92,3.15
89,busselton,12,91,-33.64,138.6,73.38,19.37
90,northam,64,87,51.04,138.6,44.6,11.41
91,griffith,0,70,-34.29,138.6,90.08,7.63
92,mar del plata,0,55,-46.43,138.6,62.63,20.38
93,arenapolis,64,96,-14.45,138.6,71.99,5.61
94,bredasdorp,92,88,-34.53,138.6,68.0,3.36
95,ushuaia,90,93,-54.81,138.6,48.2,16.11
96,saint-pierre,75,100,48.95,138.6,36.41,5.82
97,shenjiamen,88,100,29.96,138.6,45.98,14.45
98,honningsvag,12,100,70.98,138.6,26.09,8.97
99,kapaa,40,78,22.08,138.6,73.4,8.05
100,punta arenas,75,76,-53.16,138.6,51.8,13.87
101,mataura,64,70,-46.19,138.6,73.83,14.12
102,wolsztyn,75,100,52.11,138.6,38.23,3.36
103,touros,80,86,-5.2,138.6,78.78,6.29
104,epe,75,93,52.18,138.6,41.0,4.7
105,busselton,12,91,-33.64,138.6,73.38,19.37
106,smithers,90,79,54.78,138.6,24.8,3.36
107,punta arenas,75,76,-53.16,138.6,51.8,13.87
108,yulara,40,19,-25.24,138.6,104.0,19.46
109,suzun,20,74,53.78,138.6,-16.49,4.05
110,bac lieu,20,74,53.78,138.6,-16.49,4.05
111,upernavik,12,100,72.79,138.6,-3.53,4.38
112,svetlogorsk,0,68,53.14,138.6,-14.81,8.95
113,lebu,0,61,8.96,138.6,48.2,4.7
114,ushuaia,90,93,-54.81,138.6,48.2,16.11
115,tuktoyaktuk,90,76,69.44,138.6,-3.66,2.24
116,cheuskiny,90,76,69.44,138.6,-3.66,2.24
117,ixtapa,5,78,20.71,138.6,71.6,2.37
118,chokurdakh,80,72,70.62,138.6,-16.13,3.49
119,palmer,0,37,-34.85,138.6,86.0,11.41
120,salinopolis,80,100,-0.61,138.6,78.74,9.42
121,abong mbang,48,72,3.98,138.6,70.32,2.48
122,jamestown,48,56,-33.21,138.6,92.24,6.29
123,hermanus,88,98,-34.42,138.6,62.18,4.27
124,yellowknife,75,75,62.45,138.6,-18.41,3.36
125,vaini,0,43,15.34,138.6,83.87,4.38
126,mataura,64,70,-46.19,138.6,73.83,14.12
127,atuona,88,100,-9.8,138.6,80.4,17.92
128,qaanaaq,44,89,77.48,138.6,-11.13,6.96
129,nikolskoye,90,100,59.7,138.6,33.8,4.47
130,toliary,90,100,59.7,138.6,33.8,4.47
131,taolanaro,90,100,59.7,138.6,33.8,4.47
132,rabo de peixe,75,67,37.8,138.6,59.0,11.41
133,rikitea,76,99,-23.12,138.6,80.13,17.47
134,saleaula,76,99,-23.12,138.6,80.13,17.47
135,cidreira,24,76,-30.17,138.6,69.15,12.44
136,geraldton,90,93,49.72,138.6,35.6,9.17
137,illoqqortoormiut,90,93,49.72,138.6,35.6,9.17
138,saleaula,90,93,49.72,138.6,35.6,9.17
139,birin,68,99,35.01,138.6,44.45,8.41
140,tosya,0,81,41.02,138.6,12.5,3.94
141,caravelas,64,100,-17.73,138.6,78.83,10.42
142,san patricio,64,89,-26.98,138.6,76.31,4.05
143,severodvinsk,90,95,64.56,138.6,33.8,6.71
144,thompson,40,69,55.74,138.6,-7.61,14.99
145,torbay,90,79,47.66,138.6,21.2,12.75
146,thompson,40,69,55.74,138.6,-7.61,14.99
147,carnarvon,44,85,-30.97,138.6,62.4,7.63
148,kodiak,1,74,39.95,138.6,37.4,6.93
149,vila velha,40,78,-3.71,138.6,80.6,4.7
150,klaksvik,92,93,62.23,138.6,42.8,24.16
151,albany,20,79,42.65,138.6,27.88,10.29
152,avarua,75,65,-21.21,138.6,82.4,5.82
153,hobart,20,61,-42.88,138.6,80.6,14.99
154,vostok,36,51,46.45,138.6,-4.7,5.95
155,khatanga,88,70,71.98,138.6,-1.5,8.97
156,abu samrah,68,100,35.3,138.6,42.74,5.39
157,ovre ardal,48,88,61.32,138.6,11.96,1.81
158,olafsvik,48,88,61.32,138.6,11.96,1.81
159,ushuaia,90,93,-54.81,138.6,48.2,16.11
160,tiksi,20,38,71.64,138.6,-25.22,2.93
161,college,90,68,64.86,138.6,-15.98,2.93
162,bredasdorp,92,88,-34.53,138.6,68.0,3.36
163,la ronge,90,83,55.1,138.6,-4.01,10.29
164,rochester,1,74,44.02,138.6,36.0,18.34
165,puerto ayora,76,100,-0.74,138.6,74.51,7.63
166,ushuaia,90,93,-54.81,138.6,48.2,16.11
167,cape town,20,82,-33.93,138.6,64.4,19.46
168,polewali,76,59,-4.03,138.6,90.53,19.15
169,vaini,0,43,15.34,138.6,83.87,4.38
170,mys shmidta,0,43,15.34,138.6,83.87,4.38
171,salalah,0,36,17.01,138.6,64.4,2.24
172,albany,20,79,42.65,138.6,27.88,10.29
173,hobart,20,61,-42.88,138.6,80.6,14.99
174,new norfolk,20,61,-42.78,138.6,80.6,14.99
175,puerto ayora,76,100,-0.74,138.6,74.51,7.63
176,punta arenas,75,76,-53.16,138.6,51.8,13.87
177,ushuaia,90,93,-54.81,138.6,48.2,16.11
178,ahipara,80,68,-35.17,138.6,77.7,7.85
179,hermanus,88,98,-34.42,138.6,62.18,4.27
180,hobart,20,61,-42.88,138.6,80.6,14.99
181,ushuaia,90,93,-54.81,138.6,48.2,16.11
182,sarkand,8,83,45.41,138.6,-20.27,3.83
183,qaanaaq,44,89,77.48,138.6,-11.13,6.96
184,wulanhaote,44,89,77.48,138.6,-11.13,6.96
185,mys shmidta,44,89,77.48,138.6,-11.13,6.96
186,aksarka,92,82,66.56,138.6,19.25,22.5
187,khatanga,88,70,71.98,138.6,-1.5,8.97
188,saldanha,0,85,41.42,138.6,23.03,3.38
189,skovde,0,85,41.42,138.6,23.03,3.38
190,provideniya,0,100,64.42,138.6,8.85,4.38
191,gimli,80,85,50.63,138.6,20.1,17.47
192,ouango,0,70,4.31,138.6,68.3,6.51
193,punta arenas,75,76,-53.16,138.6,51.8,13.87
194,bluff,20,32,-23.58,138.6,96.02,16.46
195,hilo,1,78,19.71,138.6,64.98,4.7
196,assiniboia,32,63,49.63,138.6,12.14,14.34
197,kruisfontein,92,100,-34.0,138.6,66.14,2.26
198,bethel,0,72,60.79,138.6,-5.69,14.45
199,baruun-urt,0,50,46.68,138.6,-11.22,13.44
200,tuktoyaktuk,90,76,69.44,138.6,-3.66,2.24
201,rikitea,76,99,-23.12,138.6,80.13,17.47
202,barentsburg,76,99,-23.12,138.6,80.13,17.47
203,xiuyan,8,31,40.29,138.6,19.88,3.94
204,kapaa,40,78,22.08,138.6,73.4,8.05
205,turukhansk,56,68,65.8,138.6,-9.2,16.58
206,yellowknife,75,75,62.45,138.6,-18.41,3.36
207,rikitea,76,99,-23.12,138.6,80.13,17.47
208,carnarvon,44,85,-30.97,138.6,62.4,7.63
209,najran,0,22,17.54,138.6,53.6,4.16
210,punta arenas,75,76,-53.16,138.6,51.8,13.87
211,castro,68,100,-42.48,138.6,51.11,2.71
212,northam,64,87,51.04,138.6,44.6,11.41
213,bambous virieux,40,74,-20.34,138.6,84.2,11.41
214,troina,75,76,37.79,138.6,49.78,6.93
215,albany,20,79,42.65,138.6,27.88,10.29
216,comodoro rivadavia,0,45,-45.87,138.6,66.2,14.99
217,atuona,88,100,-9.8,138.6,80.4,17.92
218,goderich,100,76,43.74,138.6,38.69,24.18
219,vaini,0,43,15.34,138.6,83.87,4.38
220,lavrentiya,44,100,65.58,138.6,3.0,3.04
221,winnemucca,75,58,40.97,138.6,30.2,9.17
222,new norfolk,20,61,-42.78,138.6,80.6,14.99
223,katsuura,75,55,33.93,138.6,39.2,6.93
224,tessalit,0,68,20.2,138.6,47.37,5.39
225,san vicente,0,64,13.64,138.6,78.8,11.41
226,villaviciosa,75,93,43.48,138.6,44.6,5.82
227,souillac,0,93,45.6,138.6,37.4,5.82
228,telemaco borba,44,90,-24.32,138.6,63.03,10.31
229,jamestown,48,56,-33.21,138.6,92.24,6.29
230,shingu,40,41,33.72,138.6,42.8,19.46
231,sorland,48,100,67.67,138.6,37.88,5.39
232,grand-santi,92,98,4.27,138.6,72.48,2.93
233,paamiut,68,99,61.99,138.6,27.98,30.33
234,sakakah,68,99,61.99,138.6,27.98,30.33
235,teseney,0,67,15.11,138.6,68.21,5.39
236,bilibino,8,67,68.06,138.6,-1.55,6.06
237,nouadhibou,8,72,20.93,138.6,60.8,23.04
238,hermanus,88,98,-34.42,138.6,62.18,4.27
239,qaanaaq,44,89,77.48,138.6,-11.13,6.96
240,provideniya,0,100,64.42,138.6,8.85,4.38
241,illoqqortoormiut,0,100,64.42,138.6,8.85,4.38
242,busselton,12,91,-33.64,138.6,73.38,19.37
243,puerto carreno,64,77,6.19,138.6,71.58,4.38
244,saint-philippe,1,77,45.36,138.6,11.73,5.82
245,saskylakh,64,63,71.97,138.6,-13.79,4.72
246,atuona,88,100,-9.8,138.6,80.4,17.92
247,bambous virieux,40,74,-20.34,138.6,84.2,11.41
248,senanga,8,77,-16.1,138.6,72.26,6.62
249,tuktoyaktuk,90,76,69.44,138.6,-3.66,2.24
250,busselton,12,91,-33.64,138.6,73.38,19.37
251,whangamata,68,73,-37.21,138.6,73.34,6.29
252,punta arenas,75,76,-53.16,138.6,51.8,13.87
253,marcona,75,76,-53.16,138.6,51.8,13.87
254,mataura,64,70,-46.19,138.6,73.83,14.12
255,puerto carreno,64,77,6.19,138.6,71.58,4.38
256,east london,0,93,-33.02,138.6,64.4,4.7
257,arraial do cabo,92,100,-22.97,138.6,72.8,7.52
258,new norfolk,20,61,-42.78,138.6,80.6,14.99
259,muros,40,100,42.77,138.6,39.2,8.63
260,taolanaro,40,100,42.77,138.6,39.2,8.63
261,umzimvubu,40,100,42.77,138.6,39.2,8.63
262,agen,0,93,44.2,138.6,36.37,2.24
263,taolanaro,0,93,44.2,138.6,36.37,2.24
264,naldurg,8,35,17.82,138.6,80.81,6.96
265,port alfred,88,91,-33.59,138.6,72.62,6.96
266,ushuaia,90,93,-54.81,138.6,48.2,16.11
267,pangnirtung,20,68,66.15,138.6,-23.28,10.2
268,amazar,44,46,53.86,138.6,-3.03,3.38
269,kruisfontein,92,100,-34.0,138.6,66.14,2.26
270,hobart,20,61,-42.88,138.6,80.6,14.99
271,kiama,88,62,-34.67,138.6,86.0,18.34
272,euless,90,82,32.84,138.6,62.49,9.17
273,dikson,80,95,73.51,138.6,14.3,24.4
274,mataura,64,70,-46.19,138.6,73.83,14.12
275,nishihara,20,22,35.74,138.6,43.9,17.22
276,bluff,20,32,-23.58,138.6,96.02,16.46
277,adrar,0,29,27.87,138.6,50.0,26.4
278,saskylakh,64,63,71.97,138.6,-13.79,4.72
279,aklavik,90,76,68.22,138.6,-11.21,2.24
280,villazon,90,76,68.22,138.6,-11.21,2.24
281,khatanga,88,70,71.98,138.6,-1.5,8.97
282,busselton,12,91,-33.64,138.6,73.38,19.37
283,bluff,20,32,-23.58,138.6,96.02,16.46
284,tasiilaq,80,46,65.61,138.6,28.4,17.22
285,jutai,92,96,-1.71,138.6,75.41,2.71
286,lavrentiya,44,100,65.58,138.6,3.0,3.04
287,port elizabeth,1,92,39.31,138.6,31.12,10.09
288,anadyr,75,92,64.73,138.6,26.6,20.13
289,port alfred,88,91,-33.59,138.6,72.62,6.96
290,port-cartier,5,75,50.03,138.6,-18.41,4.7
291,luwuk,20,68,-0.95,138.6,89.81,5.17
292,new norfolk,20,61,-42.78,138.6,80.6,14.99
293,mayumba,80,100,-3.44,138.6,78.92,4.38
294,norman wells,40,66,65.28,138.6,-32.81,3.36
295,hithadhoo,32,100,-0.6,138.6,82.65,7.96
296,eskilstuna,24,95,59.37,138.6,34.81,5.82
297,bengkulu,24,95,59.37,138.6,34.81,5.82
298,tuktoyaktuk,90,76,69.44,138.6,-3.66,2.24
299,plettenberg bay,92,100,-34.05,138.6,66.18,2.48
300,linxia,0,49,35.6,138.6,25.55,3.71
301,caernarfon,76,93,53.14,138.6,46.4,28.86
302,vaini,0,43,15.34,138.6,83.87,4.38
303,palabuhanratu,0,43,15.34,138.6,83.87,4.38
304,albany,20,79,42.65,138.6,27.88,10.29
305,la fleche,90,92,47.7,138.6,31.53,2.93
306,mar del plata,0,55,-46.43,138.6,62.63,20.38
307,vaini,0,43,15.34,138.6,83.87,4.38
308,cherskiy,92,76,68.75,138.6,16.64,9.64
309,punta arenas,75,76,-53.16,138.6,51.8,13.87
310,katsuura,75,55,33.93,138.6,39.2,6.93
311,atuona,88,100,-9.8,138.6,80.4,17.92
312,rikitea,76,99,-23.12,138.6,80.13,17.47
313,cape town,20,82,-33.93,138.6,64.4,19.46
314,airai,92,78,-8.93,138.6,76.58,4.05
315,taolanaro,92,78,-8.93,138.6,76.58,4.05
316,rikitea,76,99,-23.12,138.6,80.13,17.47
317,mataura,64,70,-46.19,138.6,73.83,14.12
318,kodiak,1,74,39.95,138.6,37.4,6.93
319,chokurdakh,80,72,70.62,138.6,-16.13,3.49
320,hobart,20,61,-42.88,138.6,80.6,14.99
321,bargal,20,61,-42.88,138.6,80.6,14.99
322,ponta delgada,75,67,37.73,138.6,59.0,11.41
323,sao joao da barra,8,99,-21.64,138.6,78.47,1.48
324,busselton,12,91,-33.64,138.6,73.38,19.37
325,punta arenas,75,76,-53.16,138.6,51.8,13.87
326,chokurdakh,80,72,70.62,138.6,-16.13,3.49
327,souillac,0,93,45.6,138.6,37.4,5.82
328,hambantota,92,100,6.12,138.6,80.85,6.96
329,bambous virieux,40,74,-20.34,138.6,84.2,11.41
330,taolanaro,40,74,-20.34,138.6,84.2,11.41
331,mengcheng,92,87,33.26,138.6,27.8,10.65
332,mataura,64,70,-46.19,138.6,73.83,14.12
333,padang,32,100,-0.92,138.6,80.54,8.97
334,formoso do araguaia,32,100,-0.92,138.6,80.54,8.97
335,faya,5,93,18.39,138.6,50.92,4.7
336,verkhnyaya inta,48,70,65.99,138.6,26.36,14.0
337,mersing,56,84,2.43,138.6,83.06,11.65
338,ahipara,80,68,-35.17,138.6,77.7,7.85
339,saskylakh,64,63,71.97,138.6,-13.79,4.72
340,bilibino,8,67,68.06,138.6,-1.55,6.06
341,olafsvik,8,67,68.06,138.6,-1.55,6.06
342,atuona,88,100,-9.8,138.6,80.4,17.92
343,samarai,92,100,-10.62,138.6,80.9,26.75
344,saldanha,0,85,41.42,138.6,23.03,3.38
345,buala,92,100,-8.15,138.6,76.67,13.0
346,sfantu gheorghe,20,92,44.65,138.6,19.4,3.36
347,chuy,76,85,-33.69,138.6,68.07,13.44
348,korla,76,85,-33.69,138.6,68.07,13.44
349,kapaa,40,78,22.08,138.6,73.4,8.05
350,guerrero negro,0,95,27.97,138.6,49.22,5.61
351,busselton,12,91,-33.64,138.6,73.38,19.37
352,taolanaro,12,91,-33.64,138.6,73.38,19.37
353,amderma,12,91,-33.64,138.6,73.38,19.37
354,ancud,8,85,-41.87,138.6,43.32,2.15
355,najran,0,22,17.54,138.6,53.6,4.16
356,hervey bay,44,91,-25.3,138.6,81.08,16.69
357,esfarayen,75,95,37.08,138.6,35.6,3.04
358,rikitea,76,99,-23.12,138.6,80.13,17.47
359,barranca,44,99,-10.75,138.6,66.41,10.2
360,yellowknife,75,75,62.45,138.6,-18.41,3.36
361,constitucion,0,90,23.99,138.6,37.83,2.71
362,rikitea,76,99,-23.12,138.6,80.13,17.47
363,tura,0,71,25.52,138.6,64.83,3.38
364,kruisfontein,92,100,-34.0,138.6,66.14,2.26
365,rikitea,76,99,-23.12,138.6,80.13,17.47
366,kalmunai,100,83,7.42,138.6,78.65,9.86
367,taolanaro,100,83,7.42,138.6,78.65,9.86
368,tumannyy,100,83,7.42,138.6,78.65,9.86
369,punta arenas,75,76,-53.16,138.6,51.8,13.87
370,busselton,12,91,-33.64,138.6,73.38,19.37
371,vaini,0,43,15.34,138.6,83.87,4.38
372,mayo,75,70,63.59,138.6,-2.21,9.17
373,shypyntsi,90,100,48.39,138.6,21.2,6.71
374,viligili,90,100,48.39,138.6,21.2,6.71
375,dikson,80,95,73.51,138.6,14.3,24.4
376,torbay,90,79,47.66,138.6,21.2,12.75
377,taolanaro,90,79,47.66,138.6,21.2,12.75
378,hilo,1,78,19.71,138.6,64.98,4.7
379,lazaro cardenas,5,27,28.39,138.6,35.6,5.95
380,deh rawud,5,27,28.39,138.6,35.6,5.95
381,isangel,92,100,-19.55,138.6,76.35,9.75
382,bethel,0,72,60.79,138.6,-5.69,14.45
383,qaanaaq,44,89,77.48,138.6,-11.13,6.96
384,taolanaro,44,89,77.48,138.6,-11.13,6.96
385,saskylakh,64,63,71.97,138.6,-13.79,4.72
386,kendari,64,100,-3.99,138.6,79.95,0.81
387,jamestown,48,56,-33.21,138.6,92.24,6.29
388,tuktoyaktuk,90,76,69.44,138.6,-3.66,2.24
389,new norfolk,20,61,-42.78,138.6,80.6,14.99
390,hihifo,20,61,-42.78,138.6,80.6,14.99
391,hua hin,20,70,12.57,138.6,86.0,6.93
392,illoqqortoormiut,20,70,12.57,138.6,86.0,6.93
393,thompson,40,69,55.74,138.6,-7.61,14.99
394,severnoye,0,72,54.09,138.6,-5.55,10.65
395,port lincoln,36,49,-34.72,138.6,89.63,11.21
396,ushuaia,90,93,-54.81,138.6,48.2,16.11
397,grand river south east,90,93,-54.81,138.6,48.2,16.11
398,poum,8,73,41.28,138.6,12.05,1.81
399,ribeira grande,68,99,38.52,138.6,62.85,18.14
400,horqueta,0,89,-23.34,138.6,77.07,4.16
401,umzimvubu,0,89,-23.34,138.6,77.07,4.16
402,sao jose da coroa grande,92,94,-8.9,138.6,74.82,4.27
403,esperance,92,79,10.24,138.6,77.3,5.61
404,hilo,1,78,19.71,138.6,64.98,4.7
405,hithadhoo,32,100,-0.6,138.6,82.65,7.96
406,severo-kurilsk,56,98,50.68,138.6,30.27,9.19
407,hobart,20,61,-42.88,138.6,80.6,14.99
408,lasa,75,87,34.92,138.6,45.27,5.82
409,chokurdakh,80,72,70.62,138.6,-16.13,3.49
410,belushya guba,80,72,70.62,138.6,-16.13,3.49
411,asau,80,72,70.62,138.6,-16.13,3.49
412,oga,0,67,8.18,138.6,59.25,3.94
413,dikson,80,95,73.51,138.6,14.3,24.4
414,tuatapere,68,78,-46.13,138.6,70.32,10.76
415,new norfolk,20,61,-42.78,138.6,80.6,14.99
416,punta arenas,75,76,-53.16,138.6,51.8,13.87
417,kapaa,40,78,22.08,138.6,73.4,8.05
418,avarua,75,65,-21.21,138.6,82.4,5.82
419,lebu,0,61,8.96,138.6,48.2,4.7
420,castro,68,100,-42.48,138.6,51.11,2.71
421,ayagoz,0,39,47.96,138.6,-26.75,14.56
422,bandarbeyla,100,100,9.49,138.6,74.28,16.24
423,rafai,0,67,4.95,138.6,65.28,10.65
424,maltahohe,12,35,-24.83,138.6,65.06,4.94
425,albany,20,79,42.65,138.6,27.88,10.29
426,yamada,90,100,36.58,138.6,32.38,3.36
427,punta arenas,75,76,-53.16,138.6,51.8,13.87
428,baykit,68,62,61.68,138.6,-8.3,6.73
429,busselton,12,91,-33.64,138.6,73.38,19.37
430,port alfred,88,91,-33.59,138.6,72.62,6.96
431,mamit,0,62,23.92,138.6,70.1,2.59
432,cape town,20,82,-33.93,138.6,64.4,19.46
433,carnarvon,44,85,-30.97,138.6,62.4,7.63
434,mahebourg,40,74,-20.41,138.6,84.2,11.41
435,port elizabeth,1,92,39.31,138.6,31.12,10.09
436,atuona,88,100,-9.8,138.6,80.4,17.92
437,vaini,0,43,15.34,138.6,83.87,4.38
438,davila,75,55,18.47,138.6,89.6,4.7
439,hafizabad,0,100,32.07,138.6,58.85,4.61
440,samalaeulu,0,100,32.07,138.6,58.85,4.61
441,taolanaro,0,100,32.07,138.6,58.85,4.61
442,rawson,0,33,-43.3,138.6,69.56,19.93
443,phan thiet,12,74,10.93,138.6,84.5,11.99
444,thompson,40,69,55.74,138.6,-7.61,14.99
445,mbandaka,24,97,0.05,138.6,73.88,2.37
446,flinders,88,62,-34.58,138.6,86.0,18.34
447,khatanga,88,70,71.98,138.6,-1.5,8.97
448,ushuaia,90,93,-54.81,138.6,48.2,16.11
449,punta arenas,75,76,-53.16,138.6,51.8,13.87
450,grand gaube,40,74,-20.01,138.6,84.2,11.41
451,tumannyy,40,74,-20.01,138.6,84.2,11.41
452,punta arenas,75,76,-53.16,138.6,51.8,13.87
453,puerto ayora,76,100,-0.74,138.6,74.51,7.63
454,emerald,44,30,-23.53,138.6,97.01,15.68
455,tasiilaq,80,46,65.61,138.6,28.4,17.22
456,new norfolk,20,61,-42.78,138.6,80.6,14.99
457,katsuura,75,55,33.93,138.6,39.2,6.93
458,rae bareli,0,94,26.22,138.6,67.13,4.5
459,belushya guba,0,94,26.22,138.6,67.13,4.5
460,aripuana,8,95,-9.17,138.6,75.59,2.15
461,punta arenas,75,76,-53.16,138.6,51.8,13.87
462,lebu,0,61,8.96,138.6,48.2,4.7
463,ondorhaan,0,61,8.96,138.6,48.2,4.7
464,puerto ayora,76,100,-0.74,138.6,74.51,7.63
465,cidreira,24,76,-30.17,138.6,69.15,12.44
466,rikitea,76,99,-23.12,138.6,80.13,17.47
467,olinda,75,83,-2.03,138.6,78.8,9.17
468,mataura,64,70,-46.19,138.6,73.83,14.12
469,coquimbo,0,87,-29.95,138.6,59.0,2.24
470,rikitea,76,99,-23.12,138.6,80.13,17.47
471,faanui,0,100,-16.48,138.6,83.1,13.0
472,vestmannaeyjar,88,99,63.44,138.6,37.7,4.38
473,chifeng,44,38,42.27,138.6,13.31,3.38
474,punta arenas,75,76,-53.16,138.6,51.8,13.87
475,amderma,75,76,-53.16,138.6,51.8,13.87
476,san luis,8,90,-33.3,138.6,64.88,2.37
477,ushuaia,90,93,-54.81,138.6,48.2,16.11
478,hermanus,88,98,-34.42,138.6,62.18,4.27
479,bluff,20,32,-23.58,138.6,96.02,16.46
480,saint-philippe,1,77,45.36,138.6,11.73,5.82
481,cape town,20,82,-33.93,138.6,64.4,19.46
482,amderma,20,82,-33.93,138.6,64.4,19.46
483,mataura,64,70,-46.19,138.6,73.83,14.12
484,acarau,64,70,-46.19,138.6,73.83,14.12
485,sapao,64,70,-46.19,138.6,73.83,14.12
486,barrow,56,77,-38.31,138.6,68.39,11.21
487,vaitupu,56,77,-38.31,138.6,68.39,11.21
488,mataura,64,70,-46.19,138.6,73.83,14.12
489,cidreira,24,76,-30.17,138.6,69.15,12.44
490,cape town,20,82,-33.93,138.6,64.4,19.46
491,kaitangata,92,100,-46.28,138.6,68.48,5.73
492,ushuaia,90,93,-54.81,138.6,48.2,16.11
493,butaritari,88,100,3.07,138.6,81.89,15.79
494,barentsburg,88,100,3.07,138.6,81.89,15.79
495,puerto ayora,76,100,-0.74,138.6,74.51,7.63
496,rio gallegos,75,62,-51.62,138.6,59.0,2.24
497,melur,20,61,10.03,138.6,80.6,4.7
